Date,Subject Code
2024-04-16,BM39603
2024-04-16,CE31507
2024-04-16,CO34553
2024-04-16,CT20002
2024-04-16,EC35511
2024-04-16,EE32606
2024-04-16,EI37511
2024-04-16,IP33511
2024-04-16,IT38501
2024-04-16,MBA4005 
2024-04-16,ME36506
2024-04-16,PY3Y542
2024-04-18,BM29003
2024-04-18,CE21004
2024-04-18,CE21005
2024-04-18,CE41006
2024-04-18,CO24508
2024-04-18,EC45207
2024-04-18,EC45208
2024-04-18,EE22004
2024-04-18,EE25004
2024-04-18,EE42010
2024-04-18,EI27002
2024-04-18,EI47257
2024-04-18,IP43065
2024-04-18,IT28008
2024-04-18,MBA4505 
2024-04-18,ME23005
2024-04-18,ME26002
2024-04-18,ME46018
2024-04-18,PY4Y021
2024-04-22,BM39254
2024-04-22,CE31502
2024-04-22,CO34008
2024-04-22,CO34602
2024-04-22,CT20003
2024-04-22,EE32511
2024-04-22,EE35510
2024-04-22,EI37513
2024-04-22,IP33515
2024-04-22,IT38504
2024-04-22,MBA4307 
2024-04-22,ME36501
2024-04-22,PY3Y517
2024-04-23,BM47613
2024-04-23,BM49612
2024-04-23,BM49613
2024-04-23,CE41674
2024-04-23,CE41675
2024-04-23,EC25552
2024-04-23,EC25567
2024-04-23,EC45759
2024-04-23,EC45760
2024-04-23,EE42703
2024-04-23,EE42705
2024-04-23,EE42706
2024-04-23,HU21507
2024-04-23,HU23504
2024-04-23,HU26507
2024-04-23,HU27506
2024-04-23,HU28507
2024-04-23,HU29507
2024-04-23,IP43614
2024-04-23,IT48701
2024-04-23,PY4Y607
2024-04-24,BM39013
2024-04-24,CE31006
2024-04-24,CO34563
2024-04-24,EC35010
2024-04-24,EE32008
2024-04-24,EE37003
2024-04-24,IP33002
2024-04-24,IT38001
2024-04-24,MBA4108 
2024-04-24,MBA4712 
2024-04-24,ME36003
2024-04-25,BM39512
2024-04-25,CE31506
2024-04-25,CO34005
2024-04-25,EC35513
2024-04-25,EE32509
2024-04-25,IP33517
2024-04-25,IP36504
2024-04-25,IT38506
2024-04-25,ME37502
2024-04-25,PY3Y518
2024-04-29,CE31505
2024-04-29,CO34701
2024-04-29,CO34702
2024-04-29,EC35661
2024-04-29,EE32571
2024-04-29,EE39508
2024-04-29,EI37701
2024-04-29,IP33516
2024-04-29,IT35662
2024-04-29,IT38513
2024-04-29,MBA4308 
2024-04-29,ME36503
2024-04-29,PY3Y520
2024-04-30,BM29502
2024-04-30,BM49701
2024-04-30,BM49702
2024-04-30,CE21504
2024-04-30,CE41711
2024-04-30,CE41715
2024-04-30,EC22562
2024-04-30,EC24509
2024-04-30,EC25565
2024-04-30,EC26554
2024-04-30,EC26563
2024-04-30,EC45602
2024-04-30,EC45603
2024-04-30,EE22503
2024-04-30,EE42602
