Enrollment_No,Subject_Code,Semester,status,course_id,program_id,Detaintion
0801BM221015,BM29001,3,Ex,30507,24,
0801BM221018,BM29001,3,Ex,30507,24,
0801BM233D01,BM29001,3,Ex,30507,24,
0801IP221025,BM29001,3,Ex,30507,24,
0801BM223D03,BM29003,3,Ex,30507,24,
0801BM211009,BM29007,3,Ex,30507,24,
0801BM211055,BM29007,3,Ex,30507,24,
0801BM221015,BM29007,3,Ex,30507,24,
0801BM221018,BM29007,3,Ex,30507,24,
0801BM233D01,BM29007,3,Ex,30507,24,
0801IP221025,BM29007,3,Ex,30507,24,
0801BM221002,BM29502,4,Regular,30507,24,
0801BM221003,BM29502,4,Regular,30507,24,
0801BM221005,BM29502,4,Regular,30507,24,
0801BM221008,BM29502,4,Regular,30507,24,
0801BM221009,BM29502,4,Regular,30507,24,
0801BM221010,BM29502,4,Regular,30507,24,
0801BM221011,BM29502,4,Regular,30507,24,
0801BM221013,BM29502,4,Regular,30507,24,
0801BM221015,BM29502,4,Regular,30507,24,
0801BM221016,BM29502,4,Regular,30507,24,
0801BM221017,BM29502,4,Regular,30507,24,
0801BM221018,BM29502,4,Regular,30507,24,
0801BM233D01,BM29502,4,Regular,30507,24,
0801IP221025,BM29502,4,Regular,30507,24,
0901ET221022,BM29502,4,Regular,30507,24,
0801BM211009,BM29508,4,Ex,30507,24,
0801BM211041,BM29508,4,Ex,30507,24,
0801BM211062,BM29508,4,Ex,30507,24,
0801BM211065,BM29508,4,RR,30507,24,
0801BM213D01,BM29508,4,Ex,30507,24,
0801BM191062,BM39011,5,Ex,30507,24,
0801BM201034,BM39011,5,Ex,30507,24,
0801BM201050,BM39011,5,Ex,30507,24,
0801BM211008,BM39011,5,Ex,30507,24,
0801BM211023,BM39011,5,Ex,30507,24,
0801BM211056,BM39011,5,Ex,30507,24,
0801BM213D01,BM39011,5,Ex,30507,24,
0801BM201050,BM39013,5,Ex,30507,24,
0801BM213D01,BM39013,5,Ex,30507,24,
0801BM213D01,BM39254,5,Ex,30507,24,
0801BM201034,BM39501,6,RR,30507,24,
0801BM201050,BM39501,6,RR,30507,24,
0801BM211003,BM39501,6,Regular,30507,24,
0801BM211005,BM39501,6,Regular,30507,24,
0801BM211006,BM39501,6,Regular,30507,24,
0801BM211007,BM39501,6,Regular,30507,24,
0801BM211008,BM39501,6,Regular,30507,24,
0801BM211009,BM39501,6,Regular,30507,24,
0801BM211010,BM39501,6,Regular,30507,24,
0801BM211011,BM39501,6,Regular,30507,24,
0801BM211013,BM39501,6,Regular,30507,24,
0801BM211016,BM39501,6,Regular,30507,24,
0801BM211018,BM39501,6,Regular,30507,24,
0801BM211019,BM39501,6,Regular,30507,24,
0801BM211021,BM39501,6,Regular,30507,24,
0801BM211023,BM39501,6,Regular,30507,24,
0801BM211025,BM39501,6,Regular,30507,24,
0801BM211027,BM39501,6,Regular,30507,24,
0801BM211028,BM39501,6,Regular,30507,24,
0801BM211029,BM39501,6,Regular,30507,24,
0801BM211034,BM39501,6,Regular,30507,24,
0801BM211035,BM39501,6,Regular,30507,24,
0801BM211037,BM39501,6,Regular,30507,24,
0801BM211038,BM39501,6,Regular,30507,24,
0801BM211039,BM39501,6,Regular,30507,24,
0801BM211042,BM39501,6,Regular,30507,24,
0801BM211043,BM39501,6,Regular,30507,24,
0801BM211045,BM39501,6,Regular,30507,24,
0801BM211046,BM39501,6,Regular,30507,24,
0801BM211047,BM39501,6,Regular,30507,24,
0801BM211049,BM39501,6,Regular,30507,24,
0801BM211050,BM39501,6,Regular,30507,24,
0801BM211052,BM39501,6,Regular,30507,24,
0801BM211053,BM39501,6,Regular,30507,24,
0801BM211054,BM39501,6,Regular,30507,24,
0801BM211055,BM39501,6,Regular,30507,24,
0801BM211056,BM39501,6,Regular,30507,24,
0801BM211057,BM39501,6,Regular,30507,24,
0801BM211060,BM39501,6,Regular,30507,24,
0801BM211062,BM39501,6,Regular,30507,24,
0801BM211063,BM39501,6,Regular,30507,24,
0801BM223D03,BM39501,6,Regular,30507,24,
0801BM223D04,BM39501,6,Regular,30507,24,
0801IP211037,BM39501,6,Regular,30507,24,
0801BM201034,BM39512,6,RR,30507,24,
0801BM201050,BM39512,6,RR,30507,24,
0801BM211003,BM39512,6,Regular,30507,24,
0801BM211005,BM39512,6,Regular,30507,24,
0801BM211006,BM39512,6,Regular,30507,24,
0801BM211007,BM39512,6,Regular,30507,24,
0801BM211008,BM39512,6,Regular,30507,24,
0801BM211009,BM39512,6,Regular,30507,24,
0801BM211010,BM39512,6,Regular,30507,24,
0801BM211011,BM39512,6,Regular,30507,24,
0801BM211013,BM39512,6,Regular,30507,24,
0801BM211016,BM39512,6,Regular,30507,24,
0801BM211018,BM39512,6,Regular,30507,24,
0801BM211019,BM39512,6,Regular,30507,24,
0801BM211021,BM39512,6,Regular,30507,24,
0801BM211023,BM39512,6,Regular,30507,24,
0801BM211025,BM39512,6,Regular,30507,24,
0801BM211027,BM39512,6,Regular,30507,24,
0801BM211028,BM39512,6,Regular,30507,24,
0801BM211029,BM39512,6,Regular,30507,24,
0801BM211034,BM39512,6,Regular,30507,24,
0801BM211035,BM39512,6,Regular,30507,24,
0801BM211037,BM39512,6,Regular,30507,24,
0801BM211038,BM39512,6,Regular,30507,24,
0801BM211039,BM39512,6,Regular,30507,24,
0801BM211042,BM39512,6,Regular,30507,24,
0801BM211043,BM39512,6,Regular,30507,24,
0801BM211045,BM39512,6,Regular,30507,24,
0801BM211046,BM39512,6,Regular,30507,24,
0801BM211047,BM39512,6,Regular,30507,24,
0801BM211049,BM39512,6,Regular,30507,24,
0801BM211050,BM39512,6,Regular,30507,24,
0801BM211052,BM39512,6,Regular,30507,24,
0801BM211053,BM39512,6,Regular,30507,24,
0801BM211054,BM39512,6,Regular,30507,24,
0801BM211055,BM39512,6,Regular,30507,24,
0801BM211056,BM39512,6,Regular,30507,24,
0801BM211057,BM39512,6,Regular,30507,24,
0801BM211060,BM39512,6,Regular,30507,24,
0801BM211062,BM39512,6,Regular,30507,24,
0801BM211063,BM39512,6,Regular,30507,24,
0801BM223D03,BM39512,6,Regular,30507,24,
0801BM223D04,BM39512,6,Regular,30507,24,
0801IP211037,BM39512,6,Regular,30507,24,
0801BM201034,BM39603,6,RR,30507,24,
0801BM201050,BM39603,6,RR,30507,24,
0801BM211003,BM39603,6,Regular,30507,24,
0801BM211005,BM39603,6,Regular,30507,24,
0801BM211006,BM39603,6,Regular,30507,24,
0801BM211007,BM39603,6,Regular,30507,24,
0801BM211008,BM39603,6,Regular,30507,24,
0801BM211009,BM39603,6,Regular,30507,24,
0801BM211010,BM39603,6,Regular,30507,24,
0801BM211011,BM39603,6,Regular,30507,24,
0801BM211013,BM39603,6,Regular,30507,24,
0801BM211016,BM39603,6,Regular,30507,24,
0801BM211018,BM39603,6,Regular,30507,24,
0801BM211019,BM39603,6,Regular,30507,24,
0801BM211021,BM39603,6,Regular,30507,24,
0801BM211023,BM39603,6,Regular,30507,24,
0801BM211025,BM39603,6,Regular,30507,24,
0801BM211027,BM39603,6,Regular,30507,24,
0801BM211028,BM39603,6,Regular,30507,24,
0801BM211029,BM39603,6,Regular,30507,24,
0801BM211034,BM39603,6,Regular,30507,24,
0801BM211035,BM39603,6,Regular,30507,24,
0801BM211037,BM39603,6,Regular,30507,24,
0801BM211038,BM39603,6,Regular,30507,24,
0801BM211039,BM39603,6,Regular,30507,24,
0801BM211042,BM39603,6,Regular,30507,24,
0801BM211043,BM39603,6,Regular,30507,24,
0801BM211045,BM39603,6,Regular,30507,24,
0801BM211046,BM39603,6,Regular,30507,24,
0801BM211047,BM39603,6,Regular,30507,24,
0801BM211049,BM39603,6,Regular,30507,24,
0801BM211050,BM39603,6,Regular,30507,24,
0801BM211052,BM39603,6,Regular,30507,24,
0801BM211053,BM39603,6,Regular,30507,24,
0801BM211054,BM39603,6,Regular,30507,24,
0801BM211055,BM39603,6,Regular,30507,24,
0801BM211056,BM39603,6,Regular,30507,24,
0801BM211057,BM39603,6,Regular,30507,24,
0801BM211060,BM39603,6,Regular,30507,24,
0801BM211062,BM39603,6,Regular,30507,24,
0801BM211063,BM39603,6,Regular,30507,24,
0801BM223D03,BM39603,6,Regular,30507,24,
0801BM223D04,BM39603,6,Regular,30507,24,
0801IP211037,BM39603,6,Regular,30507,24,
0801EI171046,BM47613,8,Ex,30514,24,
0801EI191015,BM47613,8,Regular,30514,24,
0801EI191054,BM47613,8,Regular,30514,24,
0801BM201003,BM49612,8,Regular,30507,24,
0801BM201007,BM49612,8,Regular,30507,24,
0801BM201011,BM49612,8,Regular,30507,24,
0801BM201012,BM49612,8,Regular,30507,24,
0801BM201014,BM49612,8,Regular,30507,24,
0801BM201015,BM49612,8,Regular,30507,24,
0801BM201029,BM49612,8,Regular,30507,24,
0801BM201030,BM49612,8,Regular,30507,24,
0801BM201032,BM49612,8,Regular,30507,24,
0801BM201038,BM49612,8,Regular,30507,24,
0801BM201041,BM49612,8,Regular,30507,24,
0801BM201043,BM49612,8,Regular,30507,24,
0801BM201045,BM49612,8,Regular,30507,24,
0801BM201047,BM49612,8,Regular,30507,24,
0801BM201048,BM49612,8,Regular,30507,24,
0801BM201051,BM49612,8,Regular,30507,24,
0801BM201052,BM49612,8,Regular,30507,24,
0801BM201057,BM49612,8,Regular,30507,24,
0801BM201063,BM49612,8,Regular,30507,24,
0801BM201065,BM49612,8,Regular,30507,24,
0801BM201001,BM49613,8,Regular,30507,24,
0801BM201008,BM49613,8,Regular,30507,24,
0801BM201013,BM49613,8,Regular,30507,24,
0801BM201019,BM49613,8,Regular,30507,24,
0801BM201024,BM49613,8,Regular,30507,24,
0801BM201026,BM49613,8,Regular,30507,24,
0801BM201039,BM49613,8,Regular,30507,24,
0801BM201058,BM49613,8,Regular,30507,24,
0801BM201064,BM49613,8,Regular,30507,24,
0801BM201066,BM49613,8,Regular,30507,24,
0801BM213D02,BM49613,8,Regular,30507,24,
0801BM201001,BM49701,8,Regular,30507,24,
0801BM201007,BM49701,8,Regular,30507,24,
0801BM201008,BM49701,8,Regular,30507,24,
0801BM201013,BM49701,8,Regular,30507,24,
0801BM201015,BM49701,8,Regular,30507,24,
0801BM201019,BM49701,8,Regular,30507,24,
0801BM201024,BM49701,8,Regular,30507,24,
0801BM201026,BM49701,8,Regular,30507,24,
0801BM201029,BM49701,8,Regular,30507,24,
0801BM201030,BM49701,8,Regular,30507,24,
0801BM201032,BM49701,8,Regular,30507,24,
0801BM201038,BM49701,8,Regular,30507,24,
0801BM201039,BM49701,8,Regular,30507,24,
0801BM201045,BM49701,8,Regular,30507,24,
0801BM201047,BM49701,8,Regular,30507,24,
0801BM201048,BM49701,8,Regular,30507,24,
0801BM201051,BM49701,8,Regular,30507,24,
0801BM201052,BM49701,8,Regular,30507,24,
0801BM201057,BM49701,8,Regular,30507,24,
0801BM201058,BM49701,8,Regular,30507,24,
0801BM201064,BM49701,8,Regular,30507,24,
0801BM201066,BM49701,8,Regular,30507,24,
0801BM213D02,BM49701,8,Regular,30507,24,
0801BM201003,BM49702,8,Regular,30507,24,
0801BM201011,BM49702,8,Regular,30507,24,
0801BM201012,BM49702,8,Regular,30507,24,
0801BM201014,BM49702,8,Regular,30507,24,
0801BM201041,BM49702,8,Regular,30507,24,
0801BM201043,BM49702,8,Regular,30507,24,
0801BM201063,BM49702,8,Regular,30507,24,
0801BM201065,BM49702,8,Regular,30507,24,
0801CE201032,CE21002,3,Ex,30509,24,
0801CE211012,CE21002,3,Ex,30509,24,
0801CE211060,CE21002,3,Ex,30509,24,
0801CE211069,CE21002,3,Ex,30509,24,
0801CE221034,CE21002,3,Ex,30509,24,
0801CE221048,CE21002,3,Ex,30509,24,
0801CE221052,CE21002,3,Ex,30509,24,
0801CE221053,CE21002,3,Ex,30509,24,
0801CE221074,CE21002,3,Ex,30509,24,
0801CE221075,CE21002,3,Ex,30509,24,
0801CE221103,CE21002,3,Ex,30509,24,
0801CE221117,CE21002,3,Ex,30509,24,
0801CE221119,CE21002,3,Ex,30509,24,
0801CE233D01,CE21002,3,Ex,30509,24,
0801CE233D08,CE21002,3,Ex,30509,24,
0801CE201032,CE21003,3,Ex,30509,24,
0801CE211005,CE21003,3,Ex,30509,24,
0801CE211009,CE21003,3,Ex,30509,24,
0801CE211010,CE21003,3,Ex,30509,24,
0801CE211012,CE21003,3,Ex,30509,24,
0801CE211036,CE21003,3,Ex,30509,24,
0801CE211048,CE21003,3,Ex,30509,24,
0801CE211058,CE21003,3,Ex,30509,24,
0801CE211060,CE21003,3,Ex,30509,24,
0801CE211061,CE21003,3,Ex,30509,24,
0801CE211063,CE21003,3,Ex,30509,24,
0801CE211069,CE21003,3,Ex,30509,24,
0801CE211095,CE21003,3,Ex,30509,24,
0801CE211096,CE21003,3,Ex,30509,24,
0801CE221023,CE21003,3,Ex,30509,24,
0801CE221034,CE21003,3,Ex,30509,24,
0801CE221047,CE21003,3,Ex,30509,24,
0801CE221048,CE21003,3,Ex,30509,24,
0801CE221052,CE21003,3,Ex,30509,24,
0801CE221053,CE21003,3,Ex,30509,24,
0801CE221055,CE21003,3,Ex,30509,24,
0801CE221057,CE21003,3,Ex,30509,24,
0801CE221059,CE21003,3,Ex,30509,24,
0801CE221063,CE21003,3,Ex,30509,24,
0801CE221074,CE21003,3,Ex,30509,24,
0801CE221075,CE21003,3,Ex,30509,24,
0801CE221076,CE21003,3,Ex,30509,24,
0801CE221102,CE21003,3,Ex,30509,24,
0801CE221103,CE21003,3,Ex,30509,24,
0801CE221112,CE21003,3,Ex,30509,24,
0801CE221115,CE21003,3,Ex,30509,24,
0801CE233D01,CE21003,3,Ex,30509,24,
0801CE233D07,CE21003,3,Ex,30509,24,
0801CE233D08,CE21003,3,Ex,30509,24,
0801EE221020,CE21003,3,Ex,30509,24,
0801IP221006,CE21003,3,Ex,30509,24,
0801IP221060,CE21003,3,Ex,30509,24,
0801IP221077,CE21003,3,Ex,30509,24,
0801IP221083,CE21003,3,Ex,30509,24,
0801IT221106,CE21003,3,Ex,30509,24,
0801CE201032,CE21004,3,Ex,30509,24,
0801CE211010,CE21004,3,Ex,30509,24,
0801CE211060,CE21004,3,Ex,30509,24,
0801CE221034,CE21005,3,Ex,30509,24,
0801CE221053,CE21005,3,Ex,30509,24,
0801CE221074,CE21005,3,Ex,30509,24,
0801CE233D08,CE21005,3,Ex,30509,24,
0801IP221060,CE21005,3,Ex,30509,24,
0801CE201032,CE21007,3,Ex,30509,24,
0801CE221034,CE21007,3,Ex,30509,24,
0801CE221048,CE21007,3,Ex,30509,24,
0801CE221052,CE21007,3,Ex,30509,24,
0801CE221053,CE21007,3,Ex,30509,24,
0801CE221055,CE21007,3,Ex,30509,24,
0801CE221057,CE21007,3,Ex,30509,24,
0801CE221103,CE21007,3,Ex,30509,24,
0801CE221115,CE21007,3,Ex,30509,24,
0801CE221119,CE21007,3,Ex,30509,24,
0801IP221060,CE21007,3,Ex,30509,24,
0801IP221083,CE21007,3,Ex,30509,24,
0801CE181115,CE21502,4,Ex,30509,24,
0801CE201035,CE21502,4,Ex,30509,24,
0801CE211036,CE21502,4,Ex,30509,24,
0801CE211068,CE21502,4,Regular,30509,24,
0801CE211094,CE21502,4,Ex,30509,24,
0801CE221001,CE21502,4,Regular,30509,24,
0801CE221002,CE21502,4,Regular,30509,24,
0801CE221003,CE21502,4,Regular,30509,24,
0801CE221005,CE21502,4,Regular,30509,24,
0801CE221006,CE21502,4,Regular,30509,24,
0801CE221007,CE21502,4,Regular,30509,24,
0801CE221008,CE21502,4,Regular,30509,24,
0801CE221009,CE21502,4,Regular,30509,24,
0801CE221012,CE21502,4,Regular,30509,24,
0801CE221013,CE21502,4,Regular,30509,24,D
0801CE221014,CE21502,4,Regular,30509,24,
0801CE221017,CE21502,4,Regular,30509,24,
0801CE221019,CE21502,4,Regular,30509,24,
0801CE221021,CE21502,4,Regular,30509,24,
0801CE221022,CE21502,4,Regular,30509,24,
0801CE221023,CE21502,4,Regular,30509,24,
0801CE221025,CE21502,4,Regular,30509,24,
0801CE221026,CE21502,4,Regular,30509,24,
0801CE221028,CE21502,4,Regular,30509,24,D
0801CE221029,CE21502,4,Regular,30509,24,
0801CE221030,CE21502,4,Regular,30509,24,
0801CE221031,CE21502,4,Regular,30509,24,
0801CE221033,CE21502,4,Regular,30509,24,
0801CE221034,CE21502,4,Regular,30509,24,
0801CE221035,CE21502,4,Regular,30509,24,
0801CE221036,CE21502,4,Regular,30509,24,
0801CE221038,CE21502,4,Regular,30509,24,
0801CE221040,CE21502,4,Regular,30509,24,
0801CE221041,CE21502,4,Regular,30509,24,
0801CE221042,CE21502,4,Regular,30509,24,
0801CE221043,CE21502,4,Regular,30509,24,
0801CE221044,CE21502,4,Regular,30509,24,
0801CE221045,CE21502,4,Regular,30509,24,
0801CE221046,CE21502,4,Regular,30509,24,
0801CE221047,CE21502,4,Regular,30509,24,
0801CE221048,CE21502,4,Regular,30509,24,
0801CE221049,CE21502,4,Regular,30509,24,
0801CE221050,CE21502,4,Regular,30509,24,
0801CE221051,CE21502,4,Regular,30509,24,
0801CE221052,CE21502,4,Regular,30509,24,
0801CE221053,CE21502,4,Regular,30509,24,
0801CE221054,CE21502,4,Regular,30509,24,
0801CE221055,CE21502,4,Regular,30509,24,
0801CE221057,CE21502,4,Regular,30509,24,
0801CE221059,CE21502,4,Regular,30509,24,
0801CE221060,CE21502,4,Regular,30509,24,
0801CE221061,CE21502,4,Regular,30509,24,
0801CE221062,CE21502,4,Regular,30509,24,
0801CE221063,CE21502,4,Regular,30509,24,
0801CE221064,CE21502,4,Regular,30509,24,
0801CE221065,CE21502,4,Regular,30509,24,
0801CE221068,CE21502,4,Regular,30509,24,
0801CE221069,CE21502,4,Regular,30509,24,
0801CE221071,CE21502,4,Regular,30509,24,
0801CE221072,CE21502,4,Regular,30509,24,
0801CE221073,CE21502,4,Regular,30509,24,
0801CE221074,CE21502,4,Regular,30509,24,
0801CE221075,CE21502,4,Regular,30509,24,
0801CE221076,CE21502,4,Regular,30509,24,
0801CE221077,CE21502,4,Regular,30509,24,
0801CE221078,CE21502,4,Regular,30509,24,
0801CE221079,CE21502,4,Regular,30509,24,
0801CE221080,CE21502,4,Regular,30509,24,
0801CE221082,CE21502,4,Regular,30509,24,
